"Item information","Item information"
"Title","Title"
"File","File"
"Status","Status"
"Content","Content"
"Item Information","Item Information"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Save And Continue Edit","Save And Continue Edit"
"Edit Item ","Edit Item "
"Add Item","Add Item"
"ID","ID"
"Item Content","Item Content"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Item Manager","Item Manager"
"Manage Physical Stocktaking","Manage Physical Stocktaking"
"Add New Physical Stocktaking","Add New Physical Stocktaking"
"Name","Name"
"Attrib. Set Name","Attrib. Set Name"
"SKU","SKU"
"Image","Image"
"Price","Price"
"Qty Before Stocktake","Qty Before Stocktake"
"Qty After Stocktake","Qty After Stocktake"
"Difference","Difference"
"Stocktake Qty","Stocktake Qty"
"Physical Stocktaking Information","Physical Stocktaking Information"
"Physical Stocktaking","Physical Stocktaking"
"Cancel","Cancel"
"Confirm","Confirm"
"Confirm and Adjust Stock","Confirm and Adjust Stock"
"Save and Continue Edit","Save and Continue Edit"
"Are you sure you want to cancel this physical stocktaking?","Are you sure you want to cancel this physical stocktaking?"
"Physical Qty. does not accept negative values or blank. Please enter a valid value.","Physical Qty. does not accept negative values or blank. Please enter a valid value."
"Are you sure you want to confirm this physical stocktaking? The comfirmation will complete the stocktaking process and create a pending stock adjustment.?","Are you sure you want to confirm this physical stocktaking? The comfirmation will complete the stocktaking process and create a pending stock adjustment.?"
"Are you sure you want to confirm this physical stocktaking and its stock adjustment? The comfirmation will update Qty of products. instantly based on their stocktake Qty. here.","Are you sure you want to confirm this physical stocktaking and its stock adjustment? The comfirmation will update Qty of products. instantly based on their stocktake Qty. here."
"View Physical Stocktaking No. ","View Physical Stocktaking No. "
"New Physical Stocktaking","New Physical Stocktaking"
"Physical Stocktaking Date","Physical Stocktaking Date"
"Physical Stocktaking Warehouse","Physical Stocktaking Warehouse"
"Created on","Created on"
"Created by","Created by"
"Stocktake Warehouse","Stocktake Warehouse"
"View","View"
"Create New Physical Stocktaking","Create New Physical Stocktaking"
"Pending","Pending"
"Completed","Completed"
"Canceled","Canceled"
"Cannot physical stocktaking Warehouse","Cannot physical stocktaking Warehouse"
"Can physical stocktaking Warehouse","Can physical stocktaking Warehouse"
"Physical Stock-taking","Physical Stock-taking"
"Inventory","Inventory"
"Edit Physical Stocktaking","Edit Physical Stocktaking"
"Adjust Stock does not exist","Adjust Stock does not exist"
"Unable to find item to save","Unable to find item to save"
"You have not permission to physical stocktaking!","You have not permission to physical stocktaking!"
"Cannot save physical stocktaking with no product","Cannot save physical stocktaking with no product"
"The physical stocktaking has been successfully canceled.","The physical stocktaking has been successfully canceled."
"The physical stocktaking has been confirmed.","The physical stocktaking has been confirmed."
"The physical stocktaking has been saved successfully.","The physical stocktaking has been saved successfully."
"Unable to find physical stocktaking to save.","Unable to find physical stocktaking to save."
"Allow Everything","Allow Everything"
"Physical Stocktaking","Physical Stocktaking"
"Back","Back"
"Reset","Reset"
"Please select a Warehouse to create a new physical stocktaking","Please select a Warehouse to create a new physical stocktaking"
"Continue","Continue"
"You have not permission to adjust stock any warehouse!","You have not permission to adjust stock any warehouse!"
"Physical Stocktaking Information","Physical Stocktaking Information"
"Warehouse","Warehouse"
"View warehouse","View warehouse"
"Status: ","Status: "
"Created by: ","Created by: "
"Created on: ","Created on: "
"Import Products from CSV file","Import Products from CSV file"
"Please choose a CSV file to import","Please choose a CSV file to import"
"Import","Import"
"Example file","Example file"
"Download","Download"
"Products of Physical Stocktaking","Products of Physical Stocktaking"
"Product for Physical Stocktaking","Product for Physical Stocktaking"
