"",""
"About the calendar","About the calendar"
"Action","Action"
"Add Holiday","Add Holiday"
"Add Rule","Add Rule"
"All","All"
"All Websites","All Websites"
"Are you sure?","Are you sure?"
"Bill to First name","Bill to First name"
"Bill to Last name","Bill to Last name"
"Bill to Name","Bill to Name"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"Close","Close"
"Comment","Comment"
"Comments","Comments"
"Comments History","Comments History"
"Date selection:","Date selection:"
"Day","Day"
"Days delivery is n/a","Days delivery is n/a"
"Delete","Delete"
"Delivery date","Delivery date"
"Delivery Date","Delivery Date"
"Delivery Date","Delivery Date"
"Delivery is not available on %s","Delivery is not available on %s"
"Delivery Notice","Delivery Notice"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Friday","Friday"
"from","from"
"General settings","General settings"
"Go Today","Go Today"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Holiday has been deleted","Holiday has been deleted"
"Holiday has been successfully saved","Holiday has been successfully saved"
"Holiday","Holiday"
"Holidays","Holidays"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Item does not exist","Item does not exist"
"Items Ordered","Items Ordered"
"Minimal interval between the order and delivery date, days","Minimal interval between the order and delivery date, days"
"Monday","Monday"
"Monthly","Monthly"
"Month","Month"
"New Order RSS","New Order RSS"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"No shipping information available","No shipping information available"
"Notice","Notice"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Order #","Order #"
"Order Totals","Order Totals"
"Order was placed using %s","Order was placed using %s"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"Payment Information","Payment Information"
"Period/Date","Period/Date"
"Period, from-to","Period, from-to"
"Period type","Period type"
"Please note that all purchases later than %s will be delivered a day later","Please note that all purchases later than %s will be delivered a day later"
"Please note that orders after %s will be delivered the next day","Please note that orders after %s will be delivered the next day"
"Please provide a valid date in %s format","Please provide a valid date in %s format"
"Please provide %s","Please provide %s"
"Please select holiday(s)","Please select holiday(s)"
"Preffered Delivery Date","Preffered Delivery Date"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Purchased from (store)","Purchased from (store)"
"Purchased On","Purchased On"
"Recurrent date","Recurrent date"
"Recurrent day of week","Recurrent day of week"
"Recurrent period, from-to","Recurrent period, from-to"
"Repeat","Repeat"
"Saturday","Saturday"
"Select date","Select date"
"Select Date","Select Date"
"Selected delivery date is invalid","Selected delivery date is invalid"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Ship to Name","Ship to Name"
"Show notice about that","Show notice about that"
"Single day","Single day"
"Specified delivery date is invalid.","Specified delivery date is invalid."
"Status","Status"
"Sunday","Sunday"
"Thursday","Thursday"
"Time after which same-day delivery is unavailable","Time after which same-day delivery is unavailable"
"Time selection:","Time selection:"
"Time:","Time:"
"Title","Title"
"to","to"
"Track order","Track order"
"Tuesday","Tuesday"
"Unable to find item to save","Unable to find item to save"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"View","View"
"Website","Website"
"Wednesday","Wednesday"
"Yearly","Yearly"
"Year","Year"
"Display delivery notice","Display delivery notice"
"Same-day delivery is unavailable after","Same-day delivery is unavailable after"
"Display same-day delivery notice","Display same-day delivery notice"
"Delivery is NOT available during these days and periods","Delivery is NOT available during these days and periods"
"%s (Delivery date: %s)","%s (Delivery date: %s)"
