%s Settings,%s Settings
%s was removed from your shopping cart,%s was removed from your shopping cart
%s,%s
Action,Action
Add Zone,Add Zone
Allow Everything,Allow Everything
Allowed Methods,Allowed Methods
Allowed,Allowed
Are you sure?,Are you sure?
Cancel,Cancel
Categories Manager,Categories Manager
Categories,Categories
Category \'%s\' is unavailable,Category \'%s\' is unavailable
Change,Change
Changing your shipping location may affect your shopping cart.,Changing your shipping location may affect your shopping cart.
Collapse All,Collapse All
Countries,Countries
Country,Country
Delete Zone,Delete Zone
Delete,Delete
Delivery Zones,Delivery Zones
Edit,Edit
Expand All,Expand All
General Settings,General Settings
I\'m shipping to:,I\'m shipping to:
Invert Selection,Invert Selection
Item does not exist,Item does not exist
Item was successfully deleted,Item was successfully deleted
Item was successfully saved,Item was successfully saved
Manage Categories,Manage Categories
Manage Shipping Methods,Manage Shipping Methods
Manage Zone,Manage Zone
Modify Zone \'%s\',Modify Zone \'%s\'
New Address,New Address
No,No
Please select item(s),Please select item(s)
Please select region, state or province,Please select region, state or province
Please select your shipping location to start shopping,Please select your shipping location to start shopping
Product \'%s\' is unavailable for purchase,Product \'%s\' is unavailable for purchase
Restricted Countries and Regions,Restricted Countries and Regions
Root,Root
Save And Continue Edit,Save And Continue Edit
Save Zone,Save Zone
Select All,Select All
Shipping Method Allowed,Shipping Method Allowed
Shipping Methods Manager,Shipping Methods Manager
Shipping Methods,Shipping Methods
Shipping Zones,Shipping Zones
State/Province,State/Province
Submit,Submit
Title,Title
Total of %d record(s) were successfully deleted,Total of %d record(s) were successfully deleted
Unable to find item to save,Unable to find item to save
Unselect All,Unselect All
Yes,Yes
You are shipping to,You are shipping to
Zone Categories,Zone Categories
Zone Settings,Zone Settings
