"Order #","Order #"
"Purchased On","Purchased On"
"Bill to Name","Bill to Name"
"Ship to Name","Ship to Name"
"Order Status","Order Status"
"Shipping Progress","Shipping Progress"
"Not shipped","Not shipped"
"Partially shipped","Partially shipped"
"Complete","Complete"
"Canceled","Canceled"
"Closed","Closed"
"Warehouses Shipped","Warehouses Shipped"
"Action","Action"
"CSV","CSV"
"XML","XML"
"View drop shipment of this order","View drop shipment of this order"
"View Dropshipment","View Dropshipment"
"View shipment of this order","View shipment of this order"
"View Shipment","View Shipment"
"Create shipment of this order","Create shipment of this order"
"Ship","Ship"
"Manage Orders Shipment","Manage Orders Shipment"
"Inventory","Inventory"
"Manage Order Shipment","Manage Order Shipment"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Sales Shipments","Sales Shipments"
"Allow Everything","Allow Everything"
