"CMS","CMS"
"Pages","Pages"
"Created time","Created time"
"Title","Title"
"Review","Review"
"Rating","Rating"
"Customer Name","Customer Name"
"Rating information","Rating information"
"Name","Name"
"Sort order","Sort order"
"Rating Information","Rating Information"
"Save Rating","Save Rating"
"Delete Rating","Delete Rating"
"Save And Continue Edit","Save And Continue Edit"
"Edit Rating '%s'","Edit Rating '%s'"
"Add Rating","Add Rating"
"ID","ID"
"Rating Name","Rating Name"
"Sort Order","Sort Order"
"Rating Manager","Rating Manager"
"New Rating","New Rating"
"Review details","Review details"
"Customer","Customer"
"Summary Rating","Summary Rating"
"Detailed Rating","Detailed Rating"
"Status","Status"
"Nick name","Nick name"
"Summary of review","Summary of review"
"Save Review","Save Review"
"Delete Review","Delete Review"
"Save And Continue Edit","Save And Continue Edit"
"Edit Review #%s","Edit Review #%s"
"Review #%s","Review #%s"
"Add Review","Add Review"
"ID","ID"
"Vendor","Vendor"
"Nickname","Nickname"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Reviews Manager","Reviews Manager"
"New Review","New Review"
"Reviews","Reviews"
"Manager Ratings","Manager Ratings"
"Rating News","Rating News"
"Rating does not exist","Rating does not exist"
"Rating was successfully saved","Rating was successfully saved"
"Unable to find rating to save","Unable to find rating to save"
"Rating was successfully deleted","Rating was successfully deleted"
"Please select ratings","Please select ratings"
"Manager Reviews","Manager Reviews"
"Review does not exist","Review does not exist"
"Review was successfully saved","Review was successfully saved"
"Unable to find review to save","Unable to find review to save"
"Review was successfully deleted","Review was successfully deleted"
"Please select reviews","Please select reviews"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Your review has been accepted.","Your review has been accepted."
"Reviews and Ratings","Reviews and Ratings"
"Manage Reviews","Manage Reviews"
"View Review","View Review"
"Item does not exist","Item does not exist"
"Last 5 Reviews","Last 5 Reviews"
"Save","Save"
"Pending","Pending"
"Approved","Approved"
"Not-Approved","Not-Approved"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating isn't Available","Rating isn't Available"
" | "," | "
"Hide","Hide"
"Click <a id="review_link_%s" href="%s">%s</a> to write review for order #%s","Click <a id="review_link_%s" href="%s">%s</a> to write review for order #%s"
"Write Your Own Review","Write Your Own Review"
"You're reviewing:","You're reviewing:"
"Related Order","Related Order"
"Your Name","Your Name"
"Summary of Your Review","Summary of Your Review"
"Submit Review","Submit Review"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"(%s Reviews)","(%s Reviews)"
"Customer Reviews","Customer Reviews"
"Review by <span class="reviewer">%s</span>","Review by <span class="reviewer">%s</span>"
"(Posted on %s)","(Posted on %s)"
"There are no reviews.","There are no reviews."
